date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:31:33	327/327	---M--	404	error ('Not%20Found')	text/html	date:Sat,%2006%20May%202017%2019:31:17%20GMT	http://gameprogrammingpatterns.com/robots.txt		(from )
15:31:33	11262/11262	---M--	200	added ('OK')	text/html	etag:%2226747df-2bfe-51fa7ebe1da40%22	http://gameprogrammingpatterns.com/	E:/Projects/Visual%20Studio/GPP%20to%20MtG/gameprogrammingpatterns.com/index.html	(from )
15:31:35	11584/11584	---M--	200	added ('OK')	text/css	etag:%2239ac272-2d40-51fa7ebf11c80%22	http://gameprogrammingpatterns.com/index.css	E:/Projects/Visual%20Studio/GPP%20to%20MtG/gameprogrammingpatterns.com/index.css	(from http://gameprogrammingpatterns.com/)
15:31:38	1684/1684	---M--	200	added ('OK')	image/png	etag:%2239ac271-694-51fa7ec2e2580%22	http://gameprogrammingpatterns.com/favicon-32x32.png	E:/Projects/Visual%20Studio/GPP%20to%20MtG/gameprogrammingpatterns.com/favicon-32x32.png	(from http://gameprogrammingpatterns.com/)
15:31:40	682/682	---M--	200	added ('OK')	image/png	etag:%2239ac277-2aa-51fa7ebd29800%22	http://gameprogrammingpatterns.com/favicon-16x16.png	E:/Projects/Visual%20Studio/GPP%20to%20MtG/gameprogrammingpatterns.com/favicon-16x16.png	(from http://gameprogrammingpatterns.com/)
15:31:42	4586/4586	---M--	200	added ('OK')	text/html	etag:%2239ac276-11ea-51fa7ec005ec0%22	http://gameprogrammingpatterns.com/contents.html	E:/Projects/Visual%20Studio/GPP%20to%20MtG/gameprogrammingpatterns.com/contents.html	(from http://gameprogrammingpatterns.com/)
15:31:45	964/964	---M--	200	added ('OK')	image/png	etag:%222688688-3c4-51fa7ec89b300%22	http://gameprogrammingpatterns.com/images/title-padding.png	E:/Projects/Visual%20Studio/GPP%20to%20MtG/gameprogrammingpatterns.com/images/title-padding.png	(from http://gameprogrammingpatterns.com/)
15:31:54	51084/51084	---M--	200	added ('OK')	image/jpeg	etag:%2226886b1-c78c-4f7ad146e04c0%22	http://gameprogrammingpatterns.com/images/dogshot.jpg	E:/Projects/Visual%20Studio/GPP%20to%20MtG/gameprogrammingpatterns.com/images/dogshot.jpg	(from http://gameprogrammingpatterns.com/)
15:32:06	83361/83361	---M--	200	added ('OK')	image/png	etag:%2226886b3-145a1-4f7ad149bcb80%22	http://gameprogrammingpatterns.com/images/background.png	E:/Projects/Visual%20Studio/GPP%20to%20MtG/gameprogrammingpatterns.com/images/background.png	(from http://gameprogrammingpatterns.com/index.css)
15:32:35	366346/366346	---M--	200	added ('OK')	application/pdf	etag:%2255a817d-5970a-51fa7ec3d67c0%22	http://gameprogrammingpatterns.com/sample.pdf	E:/Projects/Visual%20Studio/GPP%20to%20MtG/gameprogrammingpatterns.com/sample.pdf	(from http://gameprogrammingpatterns.com/)
15:32:51	99275/99275	---M--	200	added ('OK')	image/png	etag:%222688694-183cb-51fa7ec7a70c0%22	http://gameprogrammingpatterns.com/images/format-pdf.png	E:/Projects/Visual%20Studio/GPP%20to%20MtG/gameprogrammingpatterns.com/images/format-pdf.png	(from http://gameprogrammingpatterns.com/index.css)
15:32:53	263383/263383	---M--	200	added ('OK')	image/jpeg	etag:%222688690-404d7-51fa7ec6b2e80%22	http://gameprogrammingpatterns.com/images/format-ebook.jpg	E:/Projects/Visual%20Studio/GPP%20to%20MtG/gameprogrammingpatterns.com/images/format-ebook.jpg	(from http://gameprogrammingpatterns.com/index.css)
15:32:59	1145/1145	---M--	200	added ('OK')	image/png	etag:%22268868e-479-51fa7ec98f540%22	http://gameprogrammingpatterns.com/images/format-bullet.png	E:/Projects/Visual%20Studio/GPP%20to%20MtG/gameprogrammingpatterns.com/images/format-bullet.png	(from http://gameprogrammingpatterns.com/index.css)
15:33:03	6242/6242	---M--	200	added ('OK')	text/css	etag:%222674189-1862-51fa7ec4caa00%22	http://gameprogrammingpatterns.com/style.css	E:/Projects/Visual%20Studio/GPP%20to%20MtG/gameprogrammingpatterns.com/style.css	(from http://gameprogrammingpatterns.com/contents.html)
15:33:06	480561/480561	---M--	200	added ('OK')	image/jpeg	etag:%222688687-75531-51fa7ec98f540%22	http://gameprogrammingpatterns.com/images/splash.jpg	E:/Projects/Visual%20Studio/GPP%20to%20MtG/gameprogrammingpatterns.com/images/splash.jpg	(from http://gameprogrammingpatterns.com/index.css)
15:33:10	29486/29486	---MC-	200	added ('OK')	text/javascript	date:Thu,%2027%20Apr%202017%2020:40:08%20GMT	http://www.google-analytics.com/analytics.js	E:/Projects/Visual%20Studio/GPP%20to%20MtG/www.google-analytics.com/analytics.js	(from http://gameprogrammingpatterns.com/contents.html)
15:33:15	1199/1199	---M--	200	added ('OK')	application/x-javascript	etag:%2226749f8-4af-4fc29a781c140%22	http://gameprogrammingpatterns.com/script.js	E:/Projects/Visual%20Studio/GPP%20to%20MtG/gameprogrammingpatterns.com/script.js	(from http://gameprogrammingpatterns.com/contents.html)
